municipality_id;cycle;analysis_year;capacity;estimated_places;max_enrolled;applications;admitted;num_centers;centers_names;estimated_need;coverage_ratio;is_covered;deficit
28164;primaria;2022-2023;218;36.333333333333336;218;3;32.0;1;Jesús Aramburu;306.4;0.7114882506527416;False;88.39999999999998
28164;eso;2022-2023;149;37.25;149;2;2;1;Jesús Aramburu;229.0;0.6506550218340611;False;80.0
28055;infantil_i_ciclo;2022-2023;23;7.666666666666667;23;18;16;1;Los Enanitos;31.2;0.7371794871794872;False;8.2
28055;infantil_ii_ciclo;2022-2023;43;14.333333333333334;43;18;18;1;Carlos Ruiz;31.8;1.3522012578616351;True;0.0
28055;primaria;2022-2023;105;17.5;105;4;18.333333333333336;1;Carlos Ruiz;72.0;1.4583333333333333;True;0.0
28055;eso;2022-2023;601;150.25;601;134;134;1;Villarejo de Salvanés;55.8;10.770609318996417;True;0.0
28171;infantil_i_ciclo;2022-2023;95;31.666666666666668;95;100;84;1;La Liebre y La Tortuga;199.2;0.4769076305220884;False;104.19999999999999
28171;infantil_ii_ciclo;2022-2023;202;67.33333333333333;202;62;61;1;Ntra. Sra. de la Poveda;208.60000000000002;0.9683604985618407;False;6.600000000000023
28171;primaria;2022-2023;466;77.66666666666667;466;2;66.0;1;Ntra. Sra. de la Poveda;472.0;0.9872881355932204;False;6.0
28171;eso;2022-2023;350;87.5;350;80;75;1;Maestro Juan María Leonet;338.4;1.0342789598108748;True;0.0
28178;infantil_i_ciclo;2022-2023;0;0.0;0;0;0;0;Ninguno;38.4;0.0;False;38.4
28178;infantil_ii_ciclo;2022-2023;82;27.333333333333336;82;22;22;2;Cristo de la Campana, San Miguel;44.400000000000006;1.8468468468468466;True;0.0
28178;primaria;2022-2023;208;34.666666666666664;208;4;28.333333333333332;2;Cristo de la Campana, San Miguel;116.4;1.7869415807560136;True;0.0
28178;eso;2022-2023;117;29.25;117;13;13;1;San Miguel;83.4;1.4028776978417266;True;0.0
28166;infantil_i_ciclo;2022-2023;13;4.333333333333333;13;15;12;1;El Sauce Llorón;16.2;0.8024691358024691;False;3.1999999999999993
28166;infantil_ii_ciclo;2022-2023;120;40.0;120;38;38;1;Gregorio Canella;15.200000000000001;7.894736842105263;True;0.0
