municipality_id;analysis_year;municipality_name;total_centers;total_population_0_19;population_0_4;population_5_9;population_10_14;population_15_19;total_estimated_need;total_capacity;overall_coverage_ratio;cycles_with_need;cycles_covered;coverage_percentage;is_fully_covered;total_deficit;cycles_with_access;access_percentage;access_classification;has_basic_education;has_mandatory_education;missing_cycles
28128;2022-2023;Rozas de Puerto Real;4;68;14;14;17;23;49.599999999999994;766;15.443548387096776;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28150;2022-2023;Torrejón de Velasco;3;1122;181;250;332;359;834.8;958;1.1475802587446096;4;1;25.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28153;2022-2023;Torremocha de Jarama;3;224;35;56;59;74;164.8;854;5.182038834951456;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28097;2022-2023;Navarredonda y San Mamés;3;12;5;4;1;2;10.4;455;43.75;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28133;2022-2023;San Martín de Valdeiglesias;4;1856;337;460;545;514;1444.8;1512;1.0465116279069768;4;3;75.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28089;2022-2023;Moraleja de Enmedio;2;1267;238;312;377;340;995.0;730;0.7336683417085427;4;0;0.0;False;265.0;4;100.0;Acceso Completo;True;True;[]
28152;2022-2023;Torrelodones;7;6084;977;1368;1765;1974;4504.8;2478;0.5500799147575919;4;0;0.0;False;2026.8000000000002;4;100.0;Acceso Completo;True;True;[]
28048;2022-2023;Corpa;8;175;31;47;54;43;140.60000000000002;3510;24.964438122332854;4;3;75.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28086;2022-2023;El Molar;6;2195;434;541;644;576;1734.2;1742;1.0044977511244377;4;1;25.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28084;2022-2023;Mejorada del Campo;10;5199;910;1295;1484;1510;3991.0;3519;0.8817339012778752;4;1;25.0;False;472.0;4;100.0;Acceso Completo;True;True;[]
28121;2022-2023;Redueña;2;47;7;12;11;17;33.4;529;15.838323353293413;4;3;75.0;False;0.0;3;75.0;Acceso Bueno;True;True;['infantil_i_ciclo']
28012;2022-2023;Anchuelo;15;332;65;91;101;75;272.0;6563;24.128676470588236;4;1;25.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28141;2022-2023;Sevilla la Nueva;4;2332;328;494;718;792;1698.4;1281;0.7542392840320301;4;0;0.0;False;417.4000000000001;4;100.0;Acceso Completo;True;True;[]
28135;2022-2023;Santa María de la Alameda;5;247;42;57;86;62;197.4;827;4.189463019250253;4;3;75.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
